Fungi,Function,Plant,Module,Connection,RootSample
OTU97_1959,Unknown,Lyonia_ovalifolia,2,22,65
OTU97_1177,EcM,Lyonia_ovalifolia,2,5,65
OTU97_1401,EcM,Lyonia_ovalifolia,2,5,65
OTU97_1449,Unknown,Lyonia_ovalifolia,2,7,65
OTU97_447,Unknown,Lyonia_ovalifolia,2,3,65
OTU97_1983,Unknown,Lyonia_ovalifolia,2,6,65
OTU97_2115,Unknown,Lyonia_ovalifolia,2,18,65
OTU97_1025,Unknown,Mallotus_japonicus,7,1,8
OTU97_1759,Unknown,Mallotus_japonicus,7,1,8
OTU97_19,EcM,Mallotus_japonicus,7,1,8
OTU97_1995,Unknown,Mallotus_japonicus,7,1,8
OTU97_569,AM,Mallotus_japonicus,7,1,8
OTU97_2249,EcM,Mallotus_japonicus,7,1,8
OTU97_2267,AM,Mallotus_japonicus,7,1,8
OTU97_1195,AM,Mallotus_japonicus,7,1,8
OTU97_1237,AM,Mallotus_japonicus,7,2,8
OTU97_1303,Unknown,Mallotus_japonicus,7,1,8
OTU97_1265,Unknown,Mallotus_japonicus,7,1,8
OTU97_937,Unknown,Mallotus_japonicus,7,2,8
OTU97_481,Unknown,Mallotus_japonicus,7,1,8
OTU97_1117,Unknown,Mallotus_japonicus,7,1,8
OTU97_939,EcM,Mallotus_japonicus,7,1,8
OTU97_1959,Unknown,Mallotus_japonicus,7,1,8
OTU97_1983,Unknown,Mallotus_japonicus,7,1,8
OTU97_2115,Unknown,Mallotus_japonicus,7,2,8
OTU97_519,Unknown,Myrica_rubra,7,1,1
OTU97_63,Unknown,Myrica_rubra,7,1,1
OTU97_1395,Unknown,Myrica_rubra,7,1,1
OTU97_481,Unknown,Myrica_rubra,7,1,1
OTU97_1983,Unknown,Myrica_rubra,7,1,1
OTU97_2349,Unknown,Parthenocissus_tricuspidata,7,1,1
OTU97_939,EcM,Parthenocissus_tricuspidata,7,1,1
OTU97_1983,Unknown,Parthenocissus_tricuspidata,7,1,1
OTU97_2115,Unknown,Parthenocissus_tricuspidata,7,1,1
OTU97_2003,Unknown,Photinia_glabra,7,1,8
OTU97_245,Unknown,Photinia_glabra,7,1,8
OTU97_889,Unknown,Photinia_glabra,7,1,8
OTU97_777,Unknown,Photinia_glabra,7,1,8
OTU97_1305,AM,Photinia_glabra,7,1,8
OTU97_1369,Unknown,Photinia_glabra,7,1,8
OTU97_1229,Unknown,Photinia_glabra,7,1,8
OTU97_1395,Unknown,Photinia_glabra,7,1,8
OTU97_1151,EcM,Photinia_glabra,7,1,8
OTU97_2159,EcM,Photinia_glabra,7,1,8
OTU97_937,Unknown,Photinia_glabra,7,1,8
OTU97_2181,Unknown,Photinia_glabra,7,1,8
OTU97_1117,Unknown,Photinia_glabra,7,1,8
OTU97_1207,Unknown,Photinia_glabra,7,1,8
OTU97_651,EcM,Photinia_glabra,7,1,8
OTU97_1449,Unknown,Photinia_glabra,7,3,8
OTU97_447,Unknown,Photinia_glabra,7,2,8
